"","name","latitude","longitude","id","observed_on","month","day","t_r"
"53","Heloniopsis umbellata",25.16993333,121.551225,39139559,2020,2,24,104
"54","Heloniopsis umbellata",25.17142193,121.5596994,39148670,2020,2,21,114
"55","Heloniopsis umbellata",24.93982833,121.4617083,39189827,2020,2,15,148
"56","Heloniopsis umbellata",24.50842094,121.6122665,39234619,2020,2,26,69
"57","Heloniopsis umbellata",24.5161633,121.6027308,39440311,2020,2,18,70
"58","Heloniopsis umbellata",24.49625536,121.5352722,39568174,2020,3,1,87
"59","Heloniopsis umbellata",24.49903488,121.5238724,39879616,2020,3,12,79
"60","Heloniopsis umbellata",24.4990654,121.5238266,39879623,2020,3,12,79
"61","Heloniopsis umbellata",24.49900414,121.5237723,39888200,2020,3,12,79
"62","Heloniopsis umbellata",24.68173389,121.50349,39924995,2020,3,7,88
"63","Heloniopsis umbellata",24.69568746,121.4704073,40072448,2020,3,7,93
"64","Heloniopsis umbellata",24.54279851,121.5238168,40279853,2020,3,20,151
"65","Heloniopsis umbellata",24.51248,121.6115033,40587085,2020,3,22,86
"66","Heloniopsis umbellata",24.38494167,121.2964383,40609093,2020,3,22,70
"67","Heloniopsis umbellata",25.16816825,121.555989,40728231,2020,2,12,104
"68","Heloniopsis umbellata",24.50933123,121.1153402,40741633,2020,3,24,86
"69","Heloniopsis umbellata",25.16737526,121.5649901,42836791,2020,2,14,114
"70","Heloniopsis umbellata",25.16924424,121.5644895,42836793,2020,2,14,114
"71","Heloniopsis umbellata",24.49941333,121.5160217,42938645,2020,3,21,96
